Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex23.yaml,18.75,1,8,8,8,8,0.000997304916381836,0.0009968280792236328
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex24.yaml,18.75,1,5,5,5,5,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex25.yaml,18.75,1,8,8,8,8,0.001994609832763672,0.0009999275207519531
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex26.yaml,18.75,1,6,6,6,6,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex27.yaml,18.75,1,7,7,7,7,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex28.yaml,18.75,1,3,3,3,3,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex29.yaml,18.75,1,7,7,7,7,0.000997304916381836,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex3.yaml,18.75,1,13,13,13,13,0.001996278762817383,0.0009965896606445312
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex30.yaml,18.75,1,2,2,2,2,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex31.yaml,18.75,1,15,15,15,15,0.010970354080200195,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex32.yaml,18.75,1,3,3,3,3,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex33.yaml,18.75,1,8,8,8,8,0.0029921531677246094,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex34.yaml,18.75,1,12,12,12,12,0.002991914749145508,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex35.yaml,18.75,1,10,10,10,10,0.0019867420196533203,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex36.yaml,18.75,1,10,10,10,10,0.0019943714141845703,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex37.yaml,18.75,1,6,6,6,6,0.0009963512420654297,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex38.yaml,18.75,1,6,6,6,6,0.0009963512420654297,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex39.yaml,18.75,1,10,10,10,10,0.0009989738464355469,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex4.yaml,18.75,1,5,5,5,5,0.0,0.0009963512420654297
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex40.yaml,18.75,1,10,10,10,10,0.0009970664978027344,0.0010175704956054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex41.yaml,18.75,1,1,10,1,10,0.0,0.0010175704956054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex42.yaml,18.75,1,3,3,3,3,0.0,0.0009975433349609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex43.yaml,18.75,1,7,7,7,7,0.0009968280792236328,0.0009975433349609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex44.yaml,18.75,1,2,2,2,2,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex45.yaml,18.75,1,13,13,13,13,0.010991573333740234,0.0009975433349609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex46.yaml,18.75,1,12,12,12,12,0.004010915756225586,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex47.yaml,18.75,1,5,5,5,5,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex48.yaml,18.75,1,6,6,6,6,0.0009968280792236328,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex49.yaml,18.75,1,10,10,10,10,0.001989126205444336,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex5.yaml,18.75,1,7,7,7,7,0.0009975433349609375,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex50.yaml,18.75,1,3,3,3,3,0.0,0.0009775161743164062
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex51.yaml,18.75,1,7,7,7,7,0.0009953975677490234,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex52.yaml,18.75,1,5,5,5,5,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex53.yaml,18.75,1,2,2,2,2,0.0009965896606445312,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex54.yaml,18.75,1,3,3,3,3,0.0,0.000997304916381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex55.yaml,18.75,1,11,11,11,11,0.0009965896606445312,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex56.yaml,18.75,1,9,9,9,9,0.0009768009185791016,0.0009968280792236328
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex57.yaml,18.75,1,7,7,7,7,0.001016855239868164,0.0009984970092773438
